Tweet,Source Type,Source URL
"Babinsa Koramil 12/XIII koto Kampar, Dampingi Pelaksanaan Penyuntikan Vaksin 5 Desa https://t.co/z35PLPh4cd",Twitter for Android,https://t.co/z35PLPh4cd
Habis ujian langsung cus vaksin. Akhirnya dah vaksin,Twitter for Android,vaksin
"Pemerintah sudah mengoptimalkan semua langkah untuk percepatan penyebarluasan vaksin ke seluruh daerah di Indonesia sampai masyarakat terpencil dan terluar

Jadi yuk kita bantu dengan segera melakukan vaksinasi agar #VaksinasiMerata dari Sabang Sampai Merauke",Twitter Web App,Merauke
@pedulilindungi mohon bantu diaplikasi saya tdk ada sertifikat vaksin. Status sdh vaksin kedua. Teeimakasih,Twitter for Android,Teeimakasih
@PLindungi halo admin maaf saya mau tanya saya sudah di vaksin pertama tapi tidak mucul data terima kasih,Twitter Web App,kasih
GERAI VAKSIN MERDEKA SEMERU POLSEK KEDIRI KOTA https://t.co/DyWzhkjepw,Twitter for Android,https://t.co/DyWzhkjepw
💯 baik sms encourage pasal vaksin je https://t.co/ONoQT9xB7B,Twitter for iPhone,https://t.co/ONoQT9xB7B
abis vaksin blh minum es gak sih njem? ehehe,Twitter for Android,ehehe
"@ja91ya @yourcheriepie @tubirfess Trs yang ga boleh ke eropa krn vaksin sinovac, trs gimana kak? Masa harus vaksin lg yakali 🥲",Twitter for Android,🥲
"@heeshoot kalau gitu semangatt besok vaksinnyaa!! 

jangan lupa setelah vaksin istirahat jangan sampe kecapeann, stay safe yaaa&lt;3",Twitter for iPhone,yaaa&lt;3
"@tubirfess Kayaknya balik ke orangnya lagi guys, soalnya aku moderna tapi Alhamdulillah ga sampe sakit apalagi sampe muntah muntah gitu. Satu-satunya efek yg dirasain cuma pegel dan nyeri, tp itu normal lah ya untuk vaksin",Twitter Web App,vaksin
"@DiahSally wahhhh, iyaa yaa, semoga nanti vaksin booster juga bisa digenjot juga yaa mendukung percepatan herd immunity dan #VaksinasiMerata dari Sabang sampai Marauke",Twitter Web App,Marauke
"@Meyltif @styleinhere @tubirfess Abis vaksin aku minum air kelapa kalo gak ada beli aja hydro coco, soalnya abis vaksin tuh aku ngerasa aus banget krn ngantri gabisa minum kudu pake masker:( sebenernya kuncinya jgn pas lg sakit atau gak enak badan sih sm sarapan dulu sebelum vaksin",Twitter for iPhone,vaksin
"Total vaksin yang sudah diterima oleh Indonesia baik dalam bentuk jadi atau bahan baku saat ini sejumlah 276.960.670 dosis.

Insyaallah didistribusikan secara merata dari Sabang Sampai Marauke.

#VaksinasiMerata",Twitter for Android,#VaksinasiMerata
@beritartm @MKNJPM Mohon segerakan SOP bagi pesakit yang tidak boleh vaksin faktor kesihatan. Kesian anak dah hampir kemurungan x keluar rmh sbb sy x boleh vaksin faktor kesihatan. Nak kemana2 pun x boleh bwk dia. https://t.co/B3RAQHYanI,Twitter for Android,https://t.co/B3RAQHYanI
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/Bq75abADXZ",Twitter Web App,https://t.co/Bq75abADXZ
AKU ABIS VAKSIN YOWWW,Twitter for iPhone,YOWWW
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/6lsAHfYAs4",Twitter Web App,https://t.co/6lsAHfYAs4
@MariaGSoemitro Wah bener padahal ga sakit juga kok di vaksin ku sudah membuktikan hehehe #VaksinasiMerata,Twitter Web App,#VaksinasiMerata
Abis vaksin kedua.. Kok ini malah sakit nya kerasa banget ya😔,Twitter for Android,ya😔
Guys jog ada info vaksin dosis 1 engga ya?,JANGAN LUPA TAAT PROKES,ya?
"@extragathel Jiiaaahhhh 🤣🤣
Nanti tulisan, alasan vaksin : biar bisa maen bowling. 

G mboiz wkwkwk",Twitter for Android,wkwkwk
"-dips! Info tempat vaksin coronavac dosis 2 untuk KTP diluar Jawa tengah dong, butuh banget soalnya. Makasih sebelumnya",warga unchdeep,sebelumnya
