Text,Kategori,URL
['Prancis Kirim Bantuan 688 Ribu Dosis Vaksin AstraZeneca ke RI'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767068/prancis-kirim-bantuan-688-ribu-dosis-vaksin-astrazeneca-ke-ri
"['Scan QR Melebihi Radius di PeduliLindungi, Saya Harus Bagaimana?']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5766969/scan-qr-melebihi-radius-di-pedulilindungi-saya-harus-bagaimana
"['Gandeng PCNU Banyuwangi, Kapolri Kejar Target Jokowi 70% Vaksinasi']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5766966/gandeng-pcnu-banyuwangi-kapolri-kejar-target-jokowi-70-vaksinasi
['Dawon dan Hwiyoung SF9 Positif COVID-19'],"<span class=""category"">detikHot</span>",https://hot.detik.com/kpop/d-5766951/dawon-dan-hwiyoung-sf9-positif-covid-19
"['Saudi Wajibkan Booster untuk Umroh, Menkes RI Kok Tak Sepakat? Ini Alasannya']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5766945/saudi-wajibkan-booster-untuk-umroh-menkes-ri-kok-tak-sepakat-ini-alasannya
['Vaksinasi Lansia di Sidoarjo Dikejar hingga Target Capai 60 Persen'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5766995/vaksinasi-lansia-di-sidoarjo-dikejar-hingga-target-capai-60-persen
['Mau Daftar Vaksin Online? Lewat PeduliLindungi Aja'],"<span class=""category"">detikFinance</span>",https://finance.detik.com/berita-ekonomi-bisnis/d-5766764/mau-daftar-vaksin-online-lewat-pedulilindungi-aja
"['Kelamaan Makan KFC di Resto, Pasangan Ini Kaget Didenda Rp 1,9 Juta']","<span class=""category"">detikFood</span>",https://food.detik.com/info-kuliner/d-5765994/kelamaan-makan-kfc-di-resto-pasangan-ini-kaget-didenda-rp-19-juta
['Wagub Riza Optimistis Vaksinasi COVID-19 Jakarta Tuntas Bulan Depan'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5766709/wagub-riza-optimistis-vaksinasi-covid-19-jakarta-tuntas-bulan-depan
"['Desak Omnibus Law Dicabut, Buruh Gelar Demo di Depan Gedung Sate']","<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-barat/d-5766687/desak-omnibus-law-dicabut-buruh-gelar-demo-di-depan-gedung-sate
['Mitra10 Buka Gerai Pertama di Semarang'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-tengah/d-5766664/mitra10-buka-gerai-pertama-di-semarang
"['Jangan Kabur dari Karantina, Kini dari Luar Negeri Karantina 5 Hari Saja']","<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5766593/jangan-kabur-dari-karantina-kini-dari-luar-negeri-karantina-5-hari-saja
"['Bali Terbuka untuk Turis Asing, tapi Wisata Bali Utara Masih Susun Aturan']","<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5766439/bali-terbuka-untuk-turis-asing-tapi-wisata-bali-utara-masih-susun-aturan
"['Perjuangan Warga Baduy Dalam Lawan Pandemi, Rela Jalan Kaki demi Vaksin']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5766467/perjuangan-warga-baduy-dalam-lawan-pandemi-rela-jalan-kaki-demi-vaksin
['Satpol PP Jatim Gelar Simulasi Tingkatkan Kesiapsiagaan Bencana di Pacitan'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5766496/satpol-pp-jatim-gelar-simulasi-tingkatkan-kesiapsiagaan-bencana-di-pacitan
"['Ogah Divaksin, Presiden Brasil Ditolak Resto AS-Gagal Nonton Bola di Stadion']","<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5766376/ogah-divaksin-presiden-brasil-ditolak-resto-as-gagal-nonton-bola-di-stadion
['Okupansi Hotel di Blitar Naik 10% Saat Uji Coba New Normal'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5766365/okupansi-hotel-di-blitar-naik-10-saat-uji-coba-new-normal
['Presiden Brasil Tegaskan Tak Akan Divaksin Corona!'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5766330/presiden-brasil-tegaskan-tak-akan-divaksin-corona
"['RI Keluar dari Red List Inggris, Ini Syarat Perjalanannya, Vaksin Sinovac Tidak Diakui']","<span class=""category"">detikTravel</span>",https://travel.detik.com/international-destination/d-5766306/ri-keluar-dari-red-list-inggris-ini-syarat-perjalanannya-vaksin-sinovac-tidak-diakui
"['Ikut Vaksinasi di Blitar Raya, Warga Antusias Bawa Pulang 10 Butir Telur']","<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5766292/ikut-vaksinasi-di-blitar-raya-warga-antusias-bawa-pulang-10-butir-telur
"['Termasuk India, Ini Daftar 19 Negara yang Sudah Boleh Masuk RI']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5766243/termasuk-india-ini-daftar-19-negara-yang-sudah-boleh-masuk-ri
['Vaksin Pfizer di DKI Jakarta Kini Bisa untuk Semua Warga'],"<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5766047/vaksin-pfizer-di-dki-jakarta-kini-bisa-untuk-semua-warga
"['Warga Malang, Makassar, Medan, Ingin Dapat Vaksin Pfizer? Ini Alamatnya']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5766080/warga-malang-makassar-medan-ingin-dapat-vaksin-pfizer-ini-alamatnya
['Rumah Sakit di Roma Dipenuhi Pasien Corona yang Belum Divaksin'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5766074/rumah-sakit-di-roma-dipenuhi-pasien-corona-yang-belum-divaksin
['5 Hal yang Bisa Dipelajari Kegiatan Agama dari Upacara Ngaben di Bali'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5766023/5-hal-yang-bisa-dipelajari-kegiatan-agama-dari-upacara-ngaben-di-bali
['Kematian Corona di Rusia Terus Menanjak Bikin Putin Bertindak'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5766022/kematian-corona-di-rusia-terus-menanjak-bikin-putin-bertindak
['Mantan Menhan Venezuela Meninggal Akibat Corona di Dalam Penjara'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional-utama/d-5765983/mantan-menhan-venezuela-meninggal-akibat-corona-di-dalam-penjara
['Pengusaha Ini Akan Ajak Kakek Suhud Dimarahi Baim Wong Jalan-jalan ke Kaltim'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765951/pengusaha-ini-akan-ajak-kakek-suhud-dimarahi-baim-wong-jalan-jalan-ke-kaltim
"['Menkes Minta Sumatera Barat Kejar Target Vaksinasi 4,4 Juta Orang']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765902/menkes-minta-sumatera-barat-kejar-target-vaksinasi-44-juta-orang
['Menkes Sorot Rendahnya Vaksinasi di Sumbar'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5765791/menkes-sorot-rendahnya-vaksinasi-di-sumbar
"['RI Bawa Oleh-oleh dari Turki, Mau Bikin Pesawat hingga Tank']","<span class=""category"">detikFinance</span>",https://finance.detik.com/industri/d-5765688/ri-bawa-oleh-oleh-dari-turki-mau-bikin-pesawat-hingga-tank
