Text,URL
['[SALAH] Video 450 Kantong Jenazah Covid-19 Berisikan Kertas'],https://turnbackhoax.id/2021/06/04/salah-video-450-kantong-jenazah-covid-19-berisikan-kertas/
['[SALAH] Menerima Donor Darah dari Orang yang Sudah di Vaksinasi Covid-19 Berbahaya'],https://turnbackhoax.id/2021/06/04/salah-menerima-donor-darah-dari-orang-yang-sudah-di-vaksinasi-covid-19-berbahaya/
"['[SALAH] Campuran Air Kelapa Muda, Jeruk Nipis dan Garam dapat Menyembuhkan Covid-19']",https://turnbackhoax.id/2021/05/30/salah-campuran-air-kelapa-muda-jeruk-nipis-dan-garam-dapat-menyembuhkan-covid-19/
['[FALSE] Eating Onions and Dropping Lemon Juice On The Nose Can Treat Covid-19'],https://turnbackhoax.id/2021/05/26/false-eating-onions-and-dropping-lemon-juice-on-the-nose-can-treat-covid-19/
['[SALAH] Memakan Bawang Merah dan Meneteskan Air Perasan Lemon ke Hidung Dapat Mengobati Covid-19'],https://turnbackhoax.id/2021/05/23/salah-memakan-bawang-merah-dan-meneteskan-air-perasan-lemon-ke-hidung-dapat-mengobati-covid-19/
['[SALAH] Vaksin Covid-19 Mengandung Microchip Magnetik'],https://turnbackhoax.id/2021/05/21/salah-vaksin-covid-19-mengandung-microchip-magnetik-2/
['[SALAH] Jumlah Kasus COVID-19 di JATIM Meledak'],https://turnbackhoax.id/2021/05/18/salah-jumlah-kasus-covid-19-di-jatim-meledak/
['[SALAH] Vaksin Covid-19 Beresiko Tinggi Bagi Perempuan yang Sedang Menstruasi'],https://turnbackhoax.id/2021/05/14/salah-vaksin-covid-19-beresiko-tinggi-bagi-perempuan-yang-sedang-menstruasi/
"['[SALAH] Indonesia berduka, 10 Dokter meninggal pada hari yang sama akibat terinfeksi Covid-19']",https://turnbackhoax.id/2021/05/11/salah-indonesia-berduka-10-dokter-meninggal-pada-hari-yang-sama-akibat-terinfeksi-covid-19/
['[SALAH] Foto “Kremasi massal saat melonjaknya jumlah kasus infeksi Covid-19 India”'],https://turnbackhoax.id/2021/05/04/salah-foto-kremasi-massal-saat-melonjaknya-jumlah-kasus-infeksi-covid-19-india/
"['[SALAH] Covid-19 Adalah Bakteri yang Terpapar Radiasi, Sumber: Kementerian Kesehatan Rusia']",https://turnbackhoax.id/2021/05/03/salah-covid-19-adalah-bakteri-yang-terpapar-radiasi-sumber-kementerian-kesehatan-rusia/
['[SALAH] Video “Seseorang yang wafat karena terinfeksi virus Covid-19 mempercayakan teman baiknya untuk membuang uangnya di Times Square di New York”'],https://turnbackhoax.id/2021/05/02/salah-video-seseorang-yang-wafat-karena-terinfeksi-virus-covid-19-mempercayakan-teman-baiknya-untuk-membuang-uangnya-di-times-square-di-new-york/
